,Year,District.Code,District.Name,Neighborhood.Code,Neighborhood.Name,Gender,Number
386,2015,5,Sarria-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,121
387,2015,5,Sarria-Sant Gervasi,23,Sarrià,Female,608
388,2015,5,Sarria-Sant Gervasi,24,les Tres Torres,Female,396
389,2015,5,Sarria-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,642
390,2015,5,Sarria-Sant Gervasi,26,Sant Gervasi - Galvany,Female,1236
391,2015,5,Sarria-Sant Gervasi,27,el Putxet i el Farró,Female,780
392,2015,6,Gracia,28,Vallcarca i els Penitents,Female,351
393,2015,6,Gracia,29,el Coll,Female,195
394,2015,6,Gracia,30,la Salut,Female,286
395,2015,6,Gracia,31,la Vila de Gracia,Female,1895
396,2015,6,Gracia,32,el Camp d'en Grassot i Gracia Nova,Female,863
397,2015,7,Horta-Guinardo,33,el Baix Guinardó,Female,618
398,2015,7,Horta-Guinardo,34,Can Baró,Female,197
399,2015,7,Horta-Guinardo,35,el Guinardó,Female,858
400,2015,7,Horta-Guinardo,36,la Font d'en Fargues,Female,105
401,2015,7,Horta-Guinardo,37,el Carmel,Female,601
402,2015,7,Horta-Guinardo,38,la Teixonera,Female,215
403,2015,7,Horta-Guinardo,39,Sant Genís dels Agudells,Female,136
404,2015,7,Horta-Guinardo,40,Montbau,Female,110
405,2015,7,Horta-Guinardo,41,la Vall d'Hebron,Female,85
406,2015,7,Horta-Guinardo,42,la Clota,Female,8
407,2015,7,Horta-Guinardo,43,Horta,Female,507
408,2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Female,507
409,2015,8,Nou Barris,45,Porta,Female,494
410,2015,8,Nou Barris,46,el Turó de la Peira,Female,378
411,2015,8,Nou Barris,47,Can Peguera,Female,24
412,2015,8,Nou Barris,48,la Guineueta,Female,232
413,2015,8,Nou Barris,49,Canyelles,Female,85
